name,runs,level_a,level_b,factors_a,factors_b,factors_sum
L8 2^1 4^1,8,2,4,1,1,2
L8 2^2 4^1,8,2,4,2,1,3
L8 2^3 4^1,8,2,4,3,1,4
L8 2^4 4^1,8,2,4,4,1,5
L16 2^2 4^1,16,2,4,2,1,3
L16 2^3 4^1,16,2,4,3,1,4
L16 2^4 4^1,16,2,4,4,1,5
L16 2^5 4^1,16,2,4,5,1,6
L16 2^6 4^1,16,2,4,6,1,7
L16 2^7 4^1,16,2,4,7,1,8
L16 2^8 4^1,16,2,4,8,1,9
L16 2^9 4^1,16,2,4,9,1,10
L16 2^10 4^1,16,2,4,10,1,11
L16 2^11 4^1,16,2,4,11,1,12
L16 2^12 4^1,16,2,4,12,1,13
L16 2^1 4^2,16,2,4,1,2,3
L16 2^2 4^2,16,2,4,2,2,4
L16 2^3 4^2,16,2,4,3,2,5
L16 2^4 4^2,16,2,4,4,2,6
L16 2^5 4^2,16,2,4,5,2,7
L16 2^6 4^2,16,2,4,6,2,8
L16 2^7 4^2,16,2,4,7,2,9
L16 2^8 4^2,16,2,4,8,2,10
L16 2^9 4^2,16,2,4,9,2,11
L16 2^1 4^3,16,2,4,1,3,4
L16 2^2 4^3,16,2,4,2,3,5
L16 2^3 4^3,16,2,4,3,3,6
L16 2^4 4^3,16,2,4,4,3,7
L16 2^5 4^3,16,2,4,5,3,8
L16 2^6 4^3,16,2,4,6,3,9
L16 2^1 4^4,16,2,4,1,4,5
L16 2^2 4^4,16,2,4,2,4,6
L16 2^3 4^4,16,2,4,3,4,7
L16 2^1 8^1,16,2,8,1,1,2
L16 2^2 8^1,16,2,8,2,1,3
L16 2^3 8^1,16,2,8,3,1,4
L16 2^4 8^1,16,2,8,4,1,5
L16 2^5 8^1,16,2,8,5,1,6
L16 2^6 8^1,16,2,8,6,1,7
L16 2^7 8^1,16,2,8,7,1,8
L16 2^8 8^1,16,2,8,8,1,9
L18 2^1 3^1,18,2,3,1,1,2
L18 2^1 3^2,18,2,3,1,2,3
L18 2^1 3^3,18,2,3,1,3,4
L18 2^1 3^4,18,2,3,1,4,5
L18 2^1 3^5,18,2,3,1,5,6
L18 2^1 3^6,18,2,3,1,6,7
L18 2^1 3^7,18,2,3,1,7,8
L18 3^1 6^1,18,3,6,1,1,2
L18 3^2 6^1,18,3,6,2,1,3
L18 3^3 6^1,18,3,6,3,1,4
L18 3^4 6^1,18,3,6,4,1,5
L18 3^5 6^1,18,3,6,5,1,6
L18 3^6 6^1,18,3,6,6,1,7
L32 2^1 4^2,32,2,4,1,2,3
L32 2^1 4^3,32,2,4,1,3,4
L32 2^1 4^4,32,2,4,1,4,5
L32 2^1 4^5,32,2,4,1,5,6
L32 2^1 4^6,32,2,4,1,6,7
L32 2^1 4^7,32,2,4,1,7,8
L32 2^1 4^8,32,2,4,1,8,9
L32 2^1 4^9,32,2,4,1,9,10
L36 2^1 3^2,36,2,3,1,2,3
L36 2^1 3^3,36,2,3,1,3,4
L36 2^1 3^4,36,2,3,1,4,5
L36 2^1 3^5,36,2,3,1,5,6
L36 2^1 3^6,36,2,3,1,6,7
L36 2^1 3^7,36,2,3,1,7,8
L36 2^1 3^8,36,2,3,1,8,9
L36 2^1 3^9,36,2,3,1,9,10
L36 2^1 3^10,36,2,3,1,10,11
